<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.CL,D,20181023,000000,69.3000000,69.3000000,65.8600000,66.0900000,1558
SPFB.CL,D,20181024,000000,66.2500000,67.7000000,66.0500000,66.2900000,1306
SPFB.CL,D,20181025,000000,66.3400000,67.5400000,66.2400000,67.0100000,2981
SPFB.CL,D,20181026,000000,66.6000000,67.8000000,66.3100000,67.6500000,1019
SPFB.CL,D,20181029,000000,67.0300000,67.6200000,66.4800000,66.6900000,714
SPFB.CL,D,20181030,000000,67.2000000,67.2000000,65.4000000,66.4400000,2150
SPFB.CL,D,20181031,000000,66.7200000,66.9400000,64.9400000,64.9600000,371
SPFB.CL,D,20181101,000000,65.1000000,65.3700000,63.3600000,63.5500000,2234
SPFB.CL,D,20181102,000000,63.5600000,63.7900000,62.6500000,62.8900000,2784
SPFB.CL,D,20181106,000000,62.9400000,63.3300000,61.4600000,62.1100000,2820
SPFB.CL,D,20181107,000000,61.8600000,63.1600000,61.3200000,61.7200000,1131
SPFB.CL,D,20181108,000000,61.9800000,62.4200000,60.5200000,60.5300000,1336
SPFB.CL,D,20181109,000000,60.6300000,60.6800000,59.4000000,60.0400000,2246
SPFB.CL,D,20181112,000000,61.0500000,61.4000000,58.9400000,59.1000000,672
SPFB.CL,D,20181113,000000,59.2000000,59.4800000,55.1200000,55.1200000,1456
SPFB.CL,D,20181114,000000,55.7500000,57.4700000,55.5100000,56.4800000,814
SPFB.CL,D,20181115,000000,56.4500000,57.4000000,56.0300000,56.6900000,373
SPFB.CL,D,20181116,000000,57.2200000,58.1300000,56.3000000,57.0900000,2901
SPFB.CL,D,20181119,000000,57.2900000,57.5000000,55.3200000,57.2700000,2777
SPFB.CL,D,20181120,000000,57.0100000,57.2900000,52.9400000,53.3200000,5476
SPFB.CL,D,20181121,000000,54.0200000,55.7700000,53.9300000,54.4700000,2934
SPFB.CL,D,20181122,000000,54.5800000,54.7500000,53.5700000,53.7700000,2916
SPFB.CL,D,20181123,000000,53.2100000,53.5100000,50.0800000,51.3000000,2987
SPFB.CL,D,20181126,000000,51.1000000,52.2000000,50.8300000,51.7400000,3101
SPFB.CL,D,20181127,000000,51.3800000,52.1500000,50.3900000,51.8100000,1249
SPFB.CL,D,20181128,000000,51.9000000,52.4100000,50.1600000,50.4500000,954
SPFB.CL,D,20181129,000000,50.4200000,52.1500000,49.5300000,51.4100000,3101
SPFB.CL,D,20181130,000000,51.5000000,51.7300000,49.6500000,50.6000000,3489
SPFB.CL,D,20181203,000000,52.4400000,53.6500000,51.2500000,53.1400000,2729
SPFB.CL,D,20181204,000000,53.2500000,54.5000000,52.7500000,52.8700000,2564
SPFB.CL,D,20181205,000000,52.4400000,54.4400000,52.2500000,53.0600000,1677
SPFB.CL,D,20181206,000000,52.3200000,53.2700000,50.1800000,51.7200000,3283
SPFB.CL,D,20181207,000000,50.9700000,54.0800000,50.6600000,52.5100000,7465
SPFB.CL,D,20181210,000000,52.7500000,52.8000000,50.7900000,51.0800000,431
SPFB.CL,D,20181211,000000,51.2300000,52.4800000,51.0000000,51.6500000,725
SPFB.CL,D,20181212,000000,52.4300000,52.9800000,51.4000000,51.4600000,1109
SPFB.CL,D,20181213,000000,51.5400000,53.4100000,50.6700000,53.2100000,569
SPFB.CL,D,20181214,000000,52.5700000,52.8600000,51.2600000,51.3200000,473
SPFB.CL,D,20181217,000000,51.5200000,52.1000000,49.4700000,49.4700000,1307
SPFB.CL,D,20181218,000000,49.4000000,49.5800000,46.4000000,47.0000000,3530
SPFB.CL,D,20181219,000000,46.8600000,48.3800000,46.0200000,47.4500000,3701
SPFB.CL,D,20181220,000000,47.2400000,47.2500000,45.7300000,46.1800000,3682
SPFB.CL,D,20181221,000000,46.4000000,46.5400000,45.1500000,45.4500000,3210
SPFB.CL,D,20181224,000000,45.8500000,45.9000000,42.4600000,42.9300000,5429
SPFB.CL,D,20181225,000000,42.5100000,42.5100000,38.9000000,42.0000000,2091
SPFB.CL,D,20181226,000000,42.3000000,46.7200000,41.6500000,46.5900000,7261
SPFB.CL,D,20181227,000000,46.1200000,46.1500000,44.5100000,45.4800000,2039
SPFB.CL,D,20181228,000000,45.7100000,46.0000000,44.5000000,45.2100000,1249
SPFB.CL,D,20181229,000000,45.1900000,45.2300000,45.0700000,45.1600000,1914
SPFB.CL,D,20190103,000000,45.6900000,47.4200000,45.3400000,47.1000000,1133
SPFB.CL,D,20190104,000000,47.4900000,49.1600000,47.4900000,48.2200000,1898
SPFB.CL,D,20190108,000000,48.4000000,49.9000000,48.4000000,49.5600000,746
SPFB.CL,D,20190109,000000,49.9900000,52.6000000,49.9900000,52.3200000,5110
SPFB.CL,D,20190110,000000,52.1700000,53.0000000,51.8000000,53.0000000,30
SPFB.CL,D,20190111,000000,52.8700000,53.5500000,51.5000000,51.9900000,289
SPFB.CL,D,20190114,000000,51.1800000,51.6500000,50.7300000,50.8500000,298
SPFB.CL,D,20190115,000000,51.0900000,52.3700000,51.0900000,52.1600000,601
SPFB.CL,D,20190116,000000,52.7000000,52.7000000,51.6500000,52.6300000,237
SPFB.CL,D,20190117,000000,52.3300000,52.7500000,51.5000000,52.5700000,883
SPFB.CL,D,20190118,000000,52.9400000,54.1000000,52.6700000,54.1000000,778
SPFB.CL,D,20190121,000000,54.1100000,54.3400000,53.7800000,54.3000000,540
SPFB.CL,D,20190122,000000,53.9000000,53.9000000,52.0500000,53.0500000,1289
SPFB.CL,D,20190123,000000,53.2400000,53.5900000,51.8900000,52.6500000,348
SPFB.CL,D,20190124,000000,52.3600000,53.5000000,52.2300000,53.2300000,849
SPFB.CL,D,20190125,000000,53.5000000,53.7500000,52.9500000,53.6000000,321
