<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.LKOH,D,20150924,000000,22618.0000000,22798.0000000,22035.0000000,22467.0000000,77100
SPFB.LKOH,D,20150925,000000,22549.0000000,23049.0000000,22518.0000000,22902.0000000,41888
SPFB.LKOH,D,20150928,000000,22902.0000000,23330.0000000,22558.0000000,22900.0000000,48492
SPFB.LKOH,D,20150929,000000,22900.0000000,23146.0000000,22611.0000000,23037.0000000,34308
SPFB.LKOH,D,20150930,000000,23050.0000000,23363.0000000,22656.0000000,22838.0000000,33996
SPFB.LKOH,D,20151001,000000,22838.0000000,22955.0000000,22063.0000000,22166.0000000,53070
SPFB.LKOH,D,20151002,000000,22211.0000000,22384.0000000,21700.0000000,22020.0000000,56860
SPFB.LKOH,D,20151005,000000,22042.0000000,22459.0000000,21960.0000000,22448.0000000,43994
SPFB.LKOH,D,20151006,000000,22422.0000000,22826.0000000,22373.0000000,22698.0000000,39371
SPFB.LKOH,D,20151007,000000,22730.0000000,23077.0000000,22558.0000000,23050.0000000,51424
SPFB.LKOH,D,20151008,000000,23030.0000000,23477.0000000,22862.0000000,23438.0000000,50358
SPFB.LKOH,D,20151009,000000,23439.0000000,24519.0000000,23356.0000000,24291.0000000,68858
SPFB.LKOH,D,20151012,000000,24310.0000000,24589.0000000,23491.0000000,23590.0000000,41868
SPFB.LKOH,D,20151013,000000,23569.0000000,23962.0000000,23507.0000000,23632.0000000,34477
SPFB.LKOH,D,20151014,000000,23671.0000000,24040.0000000,23510.0000000,23690.0000000,25249
SPFB.LKOH,D,20151015,000000,23725.0000000,23965.0000000,23588.0000000,23799.0000000,29346
SPFB.LKOH,D,20151016,000000,23800.0000000,23801.0000000,23235.0000000,23366.0000000,34647
SPFB.LKOH,D,20151019,000000,23413.0000000,23550.0000000,23191.0000000,23472.0000000,26008
SPFB.LKOH,D,20151020,000000,23461.0000000,23650.0000000,23284.0000000,23530.0000000,26304
SPFB.LKOH,D,20151021,000000,23539.0000000,23727.0000000,23302.0000000,23370.0000000,25199
SPFB.LKOH,D,20151022,000000,23376.0000000,23700.0000000,23343.0000000,23601.0000000,21142
SPFB.LKOH,D,20151023,000000,23602.0000000,23822.0000000,23375.0000000,23580.0000000,30301
SPFB.LKOH,D,20151026,000000,23527.0000000,23601.0000000,22990.0000000,23100.0000000,41037
SPFB.LKOH,D,20151027,000000,23110.0000000,23764.0000000,22765.0000000,23698.0000000,60742
SPFB.LKOH,D,20151028,000000,23700.0000000,24040.0000000,23547.0000000,23950.0000000,35740
SPFB.LKOH,D,20151029,000000,23853.0000000,23982.0000000,23577.0000000,23650.0000000,26313
SPFB.LKOH,D,20151030,000000,23665.0000000,23956.0000000,23495.0000000,23557.0000000,23894
SPFB.LKOH,D,20151102,000000,23512.0000000,24461.0000000,23349.0000000,24438.0000000,45274
SPFB.LKOH,D,20151103,000000,24450.0000000,25360.0000000,24341.0000000,25270.0000000,46723
SPFB.LKOH,D,20151105,000000,25239.0000000,25688.0000000,24952.0000000,25260.0000000,51500
SPFB.LKOH,D,20151106,000000,25244.0000000,25683.0000000,25040.0000000,25370.0000000,43795
SPFB.LKOH,D,20151109,000000,25403.0000000,25781.0000000,25265.0000000,25500.0000000,31466
SPFB.LKOH,D,20151110,000000,25511.0000000,25585.0000000,25257.0000000,25346.0000000,26359
SPFB.LKOH,D,20151111,000000,25350.0000000,25984.0000000,25250.0000000,25779.0000000,37851
SPFB.LKOH,D,20151112,000000,25730.0000000,25950.0000000,25633.0000000,25724.0000000,28283
SPFB.LKOH,D,20151113,000000,25708.0000000,25854.0000000,25000.0000000,25164.0000000,33982
SPFB.LKOH,D,20151116,000000,25162.0000000,25353.0000000,24892.0000000,25154.0000000,33520
SPFB.LKOH,D,20151117,000000,25175.0000000,25637.0000000,25080.0000000,25461.0000000,37645
